Opportunity Name,Organization,Type,Fields,Typical Amount,Deadline,Cycle,Rolling?,Description,CV Sources,Website
University of Minnesota Imagine Fund,University of Minnesota,internal,"Architecture, Land, Property, Spatial Practice","$5,000",Annual; check U of MN arts/humanities office,Annual,No,Internal grant supporting innovative arts and humanities research at University of Minnesota.,"Cuéllar CV (Property as Spatial Practice, $5K, 2020)",https://research.umn.edu/funding-opportunities/imagine-fund
Architectural League Prize,The Architectural League of New York,award,"Architecture, Urban Design","$2,000",Annual; check Architectural League website,Annual,No,Prestigious prize recognizing emerging architects and designers for innovative research and design work.,"Cuéllar CV ($2K, 2018)",https://archleague.org
Andrew W. Mellon Foundation Grants,Andrew W. Mellon Foundation,grant,"Architecture, Arts, International, Research","$20,000 (example)",Varies by program,Varies,No,"Supports scholarship in arts, humanities, and higher education. Used by Taubman faculty for architectural history research on postcolonial and Cold War contexts.",Stanek CV (2019–2021),https://www.mellon.org
British Academy Small Grants,The British Academy,grant,"Architecture, International, Research","£20,000 (example)",Typically spring,Annual,No,"Supports humanities and social sciences research. Has funded architectural history conferences, publications, and fieldwork.",Stanek CV (2021),https://www.thebritishacademy.ac.uk/funding
Graham Sustainability Institute – Catalyst Grant,"Graham Sustainability Institute, UM",internal,"Sustainability, Food Systems, Planning, Research","$9,950–$450,000",Annual cycle; check website,Annual,No,"UM internal grant supporting interdisciplinary sustainability research, pilot studies, and real-world impact projects.",Hoey CV (multiple 2017–2020); Miller CV (2022),https://graham.umich.edu
Graham Sustainability Institute – Dow Sustainability Fellowship,"Graham Sustainability Institute / Dow, UM",fellowship,"Sustainability, Planning, Food Systems","$20,000 per fellow",Typically fall semester,Annual,No,Masters-level fellowship for sustainability-focused capstone projects. Faculty serve as advisors and nominators.,Hoey CV (multiple advisees 2013–2022),https://graham.umich.edu
US Fulbright Scholar Program,U.S. Dept of State / CIES,fellowship,"Planning, International, Research",Varies; covers living/travel,August 1 annually,Annual,No,International research and teaching fellowship for faculty to conduct research or lecture abroad. Open to U.S. citizens.,"Hoey CV (awarded Bolivia, 2020)",https://fulbright.org
USDA NIFA – National Needs Graduate Fellowship,USDA National Institute of Food and Agriculture,federal,"Food Systems, Sustainability, Planning","$262,500 per award",Check Grants.gov; annual RFA,Annual,No,Federal fellowship funding graduate training in priority food and agricultural science areas. PIs apply to host fellows.,"Hoey CV ($525K total, 2021–2025)",https://www.nifa.usda.gov/grants
USDA NIFA – Partnership Grants (AFRI),USDA National Institute of Food and Agriculture,federal,"Food Systems, Sustainability, Research","$800,000+",Multiple RFAs; check Grants.gov,Annual,No,"Competitive federal grants for research partnerships in food, agriculture, and natural resources. Emphasis on multi-institutional collaboration.","Hoey CV ($800K, 2024–2028)",https://www.nifa.usda.gov/grants
NSF Convergence Accelerator,National Science Foundation,federal,"Sustainability, Planning, Research","$650,000 Phase I",Check NSF.gov for current tracks,Annual,No,Funds use-inspired convergence research addressing national-scale societal challenges. Phase I awards can lead to Phase II funding.,"Hoey CV ($650K, 2024)",https://www.nsf.gov
NIH Research Grants (R-series / Center Grants),National Institutes of Health,federal,"Planning, Food Systems, Research, Health",$6.7M+ (center grant example),"Feb, June, Oct (standard dates)",3x/year,No,"Federal health research funding. Planning and urban faculty can collaborate on equity, food systems, and community health.","Hoey CV ($6.7M, 2024–2029)",https://grants.nih.gov
W.K. Kellogg Foundation Grants,W.K. Kellogg Foundation,grant,"Food Systems, Planning, Sustainability","$35,000–$290,000",By invitation / partner institutions,Varies,No,"Philanthropic grants for food systems, equity, children, and community health. Often administered through partner institutions.",Hoey CV (multiple via MSU CRFS),https://www.wkkf.org
InterAmerican Foundation – Grassroots Development Fellowship,InterAmerican Foundation,fellowship,"Planning, International, Research","$25,000",Check IAF website,Annual,No,"Supports researchers working with grassroots organizations in Latin America and the Caribbean. Field-based, applied research focus.","Hoey CV ($25K, 2010–2011)",https://www.iaf.gov
Rackham Graduate School – Research & Predoctoral Grants,"Rackham Graduate School, UM",internal,"Research, Planning, Architecture","$1,000–$18,500",Rolling,Rolling,Yes,"UM internal funding for doctoral student research, travel, and dissertation work. Faculty serve as committee chairs and nominators.",Hoey CV (multiple advisees),https://rackham.umich.edu
UM OVPR – Transformation Grant,"Office of VP for Research, UM",internal,"Research, Sustainability, Planning","$24,926–$450,000",Annual competitive cycle,Annual,No,UM internal competitive grant for transformative interdisciplinary research. Seed funding for larger external grants.,Hoey CV (multiple OVPR awards),https://www.nsf.gov
UM Poverty Solutions – Faculty Research Grants,"Poverty Solutions Center, UM",internal,"Planning, Research, Equity","$20,000",Annual RFP; check website,Annual,No,"UM initiative funding faculty research addressing the causes and consequences of poverty. Supports community-engaged, policy-relevant research.","Hoey CV ($20K, 2017)",https://povertysolutions.umich.edu
Graham Foundation for Advanced Studies in the Fine Arts,"Graham Foundation, Chicago",grant,"Architecture, Arts, International","$8,000",Check Graham Foundation website,Annual,No,"Supports individuals and organizations working at the intersection of architecture and the arts. Grants for publications, exhibitions, and research.","Stanek CV ($8K, 2012); Miller CV (2015)",https://advance.umich.edu
Paul Mellon Centre – Publication Grants,"Paul Mellon Centre, London",grant,"Architecture, Arts, International","~£2,000",Rolling,Rolling,Yes,Supports publication of scholarly works on British art and architecture. Grants available for book manuscripts and related research.,Stanek CV (2024–25),https://www.mellon.org
CASVA – A.W. Mellon Postdoctoral Fellowship,"National Gallery of Art, Washington D.C.",fellowship,"Architecture, Arts, Research",Stipend + research funds,November annually,Annual,No,Prestigious two-year residential postdoctoral fellowship at the National Gallery of Art supporting scholars in art history and related fields.,Stanek CV (2011–2013),https://www.mellon.org
Canadian Centre for Architecture – Postdoctoral Fellowships,"Canadian Centre for Architecture, Montreal",fellowship,"Architecture, Arts, International, Research",Stipend + housing support,Typically January,Annual,No,Research fellowships at the CCA supporting architectural history and theory research using its extensive archives. Residential fellowship with collections access.,Stanek CV (2011),https://www.cca.qc.ca/en/opportunities
Michigan Society of Fellows – Senior Fellowship,"Michigan Society of Fellows, UM",fellowship,"Architecture, Research, Arts, Planning",Research support + stipend,By nomination; check MSF website,Annual,No,"Prestigious UM fellowship for exceptional scholars in arts, humanities, and social sciences. Provides research support, community, and university visibility.",Stanek CV (appointed 2023),https://societyoffellows.umich.edu
Charles Jencks Foundation – Research Fellowship,"Charles Jencks Foundation, London",fellowship,"Architecture, Arts, International",Varies,Check CJF website,Varies,No,Supports innovative research in architecture and landscape. Named fellowships and research grants available. Focus on advancing architectural discourse.,Stanek CV (May 2023),https://www.jencksfoundation.org
WOJR / Civitella Ranieri Architecture Prize,WOJR / Civitella Ranieri Foundation,award,"Architecture, Arts, International",Residency + project support,Check WOJR website,Annual,No,"Supports an architect or academic in developing a significant body of work. Provides residency at Civitella Ranieri castle in Umbria, Italy.",Newell CV (2020),https://civitella.org
Kresge Artist Fellowship,Kresge Foundation / Kresge Arts in Detroit,fellowship,"Arts, Architecture, Detroit","$25,000 unrestricted",Annual; check Kresge Arts in Detroit,Annual,No,Supports Detroit-area artists and practitioners with unrestricted funding. Applicants must be based in Metro Detroit. Highly competitive.,Newell CV (2017),https://www.kresge.org
MacDowell Fellowship,"MacDowell, Peterborough NH",fellowship,"Arts, Architecture, Residency",Residency; all costs covered,Jan 15 (summer/fall); Apr 15 (winter/spring),Biannual,No,"Prestigious creative residency providing uninterrupted time and a private studio. Open to architects, artists, writers, composers, and other creatives.",Newell CV (2024); Abrons CV (2017),https://www.macdowell.org
Rome Prize – Architecture (American Academy in Rome),American Academy in Rome,fellowship,"Architecture, Arts, International","$28,000 + housing + studio + meals",November 1 annually,Annual,No,One of the most prestigious awards in arts and humanities. Residential fellowship in Rome for 6 or 11 months supporting independent architectural projects.,Newell CV (Rome Prize 2013–2014),https://www.aarome.org/rome-prize
SOM Foundation Traveling Fellowship,"SOM (Skidmore, Owings & Merrill) Foundation",fellowship,"Architecture, International, Travel","$50,000 (typical)",Typically spring; check SOM Foundation,Annual,No,"Enables architects and designers to pursue independent research abroad. Multiple fellowship types: Architecture, Design, and Urban Design.",Newell CV (2006–07),https://www.somfoundation.com
Architectural League Prize for Young Architects,Architectural League of New York,award,"Architecture, Emerging Practice",Exhibition + publication,January annually,Annual,No,"Annual competition recognizing emerging architects within 10 years of graduation. Winners receive exhibition, publication, and lecture opportunities in New York.",Newell CV (2011),https://archleague.org
National Endowment for the Arts – Research Lab / Grants,National Endowment for the Arts,federal,"Arts, Architecture, Planning, Community","$150,000 (Research Lab example)",Check NEA.gov for current programs,Varies,No,"Federal agency supporting arts-related research. Research Lab grants fund interdisciplinary teams studying arts and their impact on health, equity, and communities.","Newell CV (NEA Lab, 2024–ongoing)",https://www.arts.gov
Guardian Glass Industries – Innovation in Glass Grant,Guardian Glass (Industry Partner),grant,"Architecture, Arts, Research, Materials","$30,000–$90,000",By invitation / direct contact,Varies,No,Industry research partnership supporting innovative glass research in architecture and design. Multi-year grants for experimental fabrication and material research.,Newell CV (multiple 2016–2022),https://www.guardian.com
UM Arts Engine – Interdisciplinary Faculty Research Grant,"Arts Engine / Stamps School, UM",internal,"Arts, Architecture, Research, Technology","$3,000–$64,462",Annual RFP; check Arts Engine website,Annual,No,"UM internal grant for interdisciplinary research at the intersection of arts, technology, and the humanities. Encourages cross-school collaboration.",Newell CV (multiple 2018–2021),https://stamps.umich.edu
Egalitarian Metropolis Project Grant (Michigan-Mellon),Mellon Foundation / Taubman College / UM,grant,"Architecture, Planning, Research, Equity","$20,000",Annual cycle; check Taubman/Mellon website,Annual,No,"Supports projects engaging equity, belonging, and the future of cities. Administered through UM's Michigan-Mellon Project on the Egalitarian Metropolis.","Morcillo Pallares CV ($20K, 2022–2023)",https://taubmancollege.umich.edu
OVPR Bold Challenges BOOST Program,"Office of VP for Research, UM",internal,"Research, Sustainability, Planning, Architecture","$75,000",Annual; check OVPR website,Annual,No,"UM initiative supporting bold, high-impact interdisciplinary research tackling climate, health, equity, and other complex societal problems.","Morcillo Pallares CV ($75K, 2024–2025)",https://research.umich.edu
Taubman College – Research Through Making Grant,"Taubman College, UM",internal,"Architecture, Arts, Research, Making","$19,000–$24,000",Annual; check Taubman College,Annual,No,"Annual internal grant for experimental, fabrication-based architectural research. Most widely cited grant across all CVs.",Morcillo Pallares CV; Newell CV; Miller CV; Abrons CV; Thün CV (multiple),https://taubmancollege.umich.edu
UMOR Publication Subvention Grant,UM Office of Research (UMOR),internal,"Architecture, Arts, Research, Planning","$5,000",Rolling,Rolling,Yes,"UM grant subsidizing faculty publication costs including peer-reviewed books, open-access fees, and exhibition catalogs.","Morcillo Pallares CV ($5K, 2017)",https://research.umich.edu
CRLT Lecturers Professional Development Fund,"CRLT, UM",internal,"Research, Architecture, Planning, Teaching","$2,000",Rolling,Rolling,Yes,"UM fund specifically supporting professional development for lecturers and teaching faculty, including research projects and curriculum development.","Morcillo Pallares CV ($2K, 2014–2015)",https://crlt.umich.edu
German Research Foundation (DFG) – International Project Grants,"Deutsche Forschungsgemeinschaft (DFG), Germany",grant,"Architecture, International, Research, Sustainability","€50,000–€500,000+",Rolling,Rolling,Yes,Germany's primary research funding agency. Architecture faculty can participate as foreign co-investigators on projects led by German institutions.,Morcillo Pallares CV (2024–2025),https://www.dfg.de/en
AIA Michigan / AIA Detroit Design Honor Awards,American Institute of Architects Michigan / AIA Detroit,award,"Architecture, Design Competition",Honor award; professional recognition,Typically early spring,Annual,No,Annual juried awards recognizing outstanding architectural design in Michigan. Open to AIA members.,Morcillo Pallares CV (2023 Honor Awards for The School at Marygrove),https://www.aia.org
SARA NY / SARA National Design Awards,Society of American Registered Architects (SARA),award,"Architecture, Design Competition",Award of Excellence / Honor Award,Typically spring/summer,Annual,No,"National and chapter-level design awards open to all licensed architects. Categories span residential, commercial, institutional, and unbuilt work.",Morcillo Pallares CV (2023 SARA NY + National Awards),https://www.sara-national.org
FIGMENT / ENYA – City of Dreams Pavilion Competition,FIGMENT / AIA New York (ENYA) / SEAoNY,competition,"Architecture, Design, Arts, Public Space","$15,000–$25,000 construction funding",Typically January–February,Annual,No,"Annual open competition for a temporary pavilion on Governors Island, NYC. Emphasizes sustainability, community engagement, and innovative construction.",Morcillo Pallares CV (Finalist 2020),https://www.aia.org
Land Art Generator Initiative (LAGI) Design Competition,Land Art Generator Initiative,competition,"Architecture, Design, Sustainability, Arts","$10,000–$20,000 prize",Biennial; check LAGI website,Biennial,No,Biennial international open competition for large-scale public art installations that generate clean energy. Combines aesthetic vision with real renewable energy infrastructure.,Morcillo Pallares CV (Finalist LAGI 2012),https://landartgenerator.org
A. Alfred Taubman Teaching Fellowship,"University of Michigan, Taubman College",internal,"Architecture, Teaching, Education",Varies,Internal – contact college,Annual,No,Supports early-career teaching faculty at Taubman College. Awarded to outstanding fellows in architecture.,Miller CV (2009–10); Abrons CV (2009–10),https://taubmancollege.umich.edu
Graham Foundation Grant for Individuals,Graham Foundation for the Advanced Studies in the Fine Arts,grant,"Architecture, Arts, Research","$10,000–$30,000",Typically Jan–Feb; check site,Annual,No,Supports individuals pursuing projects that advance architecture and its relationship to other disciplines. Miller used for 'Bioplastics! and Architecture's Many Natures.',Miller CV (2015),https://advance.umich.edu
Akademie Schloss Solitude Fellowship,"Akademie Schloss Solitude, Stuttgart",fellowship,"Architecture, Arts, Research, International",Stipend + studio + housing,Biennial; check site,Biennial,No,"International residency fellowship in Stuttgart, Germany. Supports artists and architects for 3–12 month stays.",Abrons CV (2011–12),https://www.akademie-solitude.de
NSF National I-Corps Grant,National Science Foundation,federal,"Architecture, Research, Entrepreneurship","$50,000",Rolling cohort cycles,Multiple/year,Yes,Entrepreneurial commercialization program for faculty with translatable research. Team-based: Technical Lead (faculty PI) + Entrepreneurial Lead (grad student) + Industry Mentor.,Miller CV (2021–22),https://www.nsf.gov
Canada Council – Professional Prix de Rome in Architecture,Canada Council for the Arts,grant,"Architecture, Research, Travel, International","~$50,000 CAD",Check Canada Council site,Annual,No,National juried portfolio and project award for Canadian architects. Supports extended research travel and creative practice.,Thün CV (2009),https://canadacouncil.ca
Young Architect's Forum Award,The Architectural League of New York,award,"Architecture, Emerging Practice",Exhibition + recognition,Annual; check Arch League site,Annual,No,Competitive award for emerging architects (within ~10 years of degree). Includes exhibition at the Architectural League of New York.,Thün CV (2008),https://archleague.org
AIA/AAF Scholarship for First Professional Degree Candidates,American Institute of Architects Foundation,fellowship,"Architecture, Education","$2,500–$5,000",Typically February,Annual,No,Scholarship for students pursuing the first professional degree in architecture. Open to US architecture students in accredited programs.,Abrons CV (2005),https://www.aia.org
NSF Partnerships for Innovation – Technology Translation (PFI-TT),National Science Foundation,federal,"Architecture, Research, Commercialization","$250,000",Biannual; check NSF solicitation,Biannual,No,Supports faculty with prior NSF-funded research to translate findings toward commercial or societal use. Requires documented prior NSF support.,Miller CV (2023–25),https://www.nsf.gov
NSF Civic Innovation Challenge (CIVIC),National Science Foundation,federal,"Urban Design, Technology, Community","$75,000 (Stage 1); up to $1M (Stage 2)",Check NSF solicitations,Annual,No,Two-stage grants for community-engaged civic research. University teams partner with local government or nonprofits.,Abrons CV (2024),https://www.nsf.gov
NSF Regional Engines Type 1 Development Grant,National Science Foundation / EDA,federal,"Architecture, Regional Innovation, Equity","$1,000,000",Check NSF solicitation,Periodic,No,"Multi-institution regional innovation ecosystem development grants. Requires consortium across universities, industry, and community.",Thün CV (2024),https://www.nsf.gov
"Belmont Forum SUGI – Food, Water, Energy Nexus",Belmont Forum / NSF,federal,"Urban Design, Sustainability, Systems Research","~$250,000 US component",Check Belmont Forum calls,Periodic,No,International collaborative research on food-energy-water systems in cities. Multi-national team required; US component funded via NSF.,Thün CV (2018–22),https://www.nsf.gov
UM Poverty Solutions – Faculty Research Grants,American Institute of Architects Foundation,grant,"Architecture, Research, Practice","$15,000–$25,000",Annual; check AIA site,Annual,No,Supports practice-oriented architectural research. Open to AIA members and faculty architects.,Miller CV (2016); Thün CV (2014),https://povertysolutions.umich.edu
EGLE NextCycle Michigan – Recycling Innovation Track,"Michigan Dept. of Environment, Great Lakes & Energy",grant,"Architecture, Materials, Sustainability","$10,000–$70,000",Annual/periodic; check EGLE site,Annual,Yes,Michigan circular economy and recycling innovation grants. Supports projects developing new materials or systems from waste streams.,Miller CV (2022; 2025),https://nextcyclemichigan.com
Michigan Economic Development Corporation – ADVANCE Prototyping Grant,Michigan Economic Development Corporation (MEDC),grant,"Architecture, Materials, Product Development","~$20,000",Periodic; check MEDC site,Periodic,No,Supports development of commercial prototypes. Miller used for Post Rock building material development toward market.,Miller CV (2023),https://advance.umich.edu
Bloomberg Philanthropies Public Art Challenge,Bloomberg Philanthropies,grant,"Public Art, Urban Design, Community","$1,000,000 (city); ~$60,000 (UM subgrant)",City-application driven; periodic,Periodic (~every 3 yrs),No,Supports creative placemaking projects embedded in city government. Universities typically participate as subgrantees within a city-led application.,"Thün CV (2019 – Fertile Ground, Jackson MS)",https://www.bloomberg.org/philanthropies
Urban Studies Foundation Seminar Series Competition,Urban Studies Foundation,grant,"Urban Research, Architecture, Planning","~$26,000",Check USF site,Annual,No,Funds academic seminar series focused on urban studies and urbanism research topics.,Thün CV (2018),https://www.urbanstudiesfoundation.org
National Fish and Wildlife Foundation – Coastal Resilience Fund,National Fish and Wildlife Foundation (NFWF),federal,"Environmental Design, Resilience, Urban","~$499,000 (+ $500K cost share required)",Annual; check NFWF site,Annual,No,Supports nature-based solutions for stormwater and coastal resilience. Requires significant partner cost share. Multi-institutional teams.,Thün CV (2024),https://www.nfwf.org
SSHRC Research/Creation Grant in Fine Arts (Canada),Social Sciences and Humanities Research Council of Canada,grant,"Architecture, Arts, Research-Creation, International","$146,000–$186,000 CAD",Varies by stream; check SSHRC,Annual,No,Canadian federal grant for research-creation in the fine arts. Requires Canadian affiliation. Thün used for The Stratus Project and Post Carbon Highway.,Thün CV (2009; 2011),https://www.sshrc-crsh.gc.ca
Taubman College Prototyping Tomorrow Grant,"Taubman College of Architecture + Urban Planning, UM",internal,"Architecture, Prototyping, Design Research","~$20,000",Internal annual cycle,Annual,No,Supports prototyping projects advancing new design research directions at Taubman.,Miller CV (2018); Thün CV (2019; 2018),https://taubmancollege.umich.edu
Taubman College Faculty Seed Fund,"Taubman College of Architecture + Urban Planning, UM",internal,"Architecture, Creative Practice","$1,200–$5,000",Internal; rolling,Annual/Rolling,Yes,Small seed grants to launch new research or creative practice projects. Lower bar than Research Through Making; good for project initiation.,Miller CV (2015+); Abrons CV (2013–17),https://taubmancollege.umich.edu
Taubman College Artistic Productions and Performances Grant,"Taubman College / OVPR, UM",internal,"Architecture, Creative Practice, Exhibition","$5,000–$10,000",Internal annual cycle,Annual,No,"Supports exhibitions, installations, and artistic production projects. Used by faculty for Venice Biennale, Chicago Biennial, and other major exhibitions.",Miller CV (2015; 2017); Abrons CV (2013–17); Thün CV (2013; 2015),https://research.umich.edu
Taubman College Research on the City Grant,"Taubman College of Architecture + Urban Planning, UM",internal,"Urban Research, Architecture, Planning","~$19,000–$20,000",Internal annual cycle,Annual,No,Supports research projects engaging city and urban design questions.,Abrons CV (2014); Thün CV (2014),https://taubmancollege.umich.edu
Taubman College Equity Innovation Grant,"Taubman College of Architecture + Urban Planning, UM",internal,"Architecture, Education, Equity","~$15,000",Internal; periodic,Periodic,No,Supports equity-focused curriculum and pedagogical development projects.,Abrons CV (2018),https://taubmancollege.umich.edu
OVPR Research Catalyst Grant,"Office of the Vice President for Research, UM",internal,"Architecture, Research, Interdisciplinary","~$12,000–$15,000",Internal competition,Annual,No,Small grants to catalyze new research directions. Broad eligibility across campus; good entry point for new research directions.,Miller CV (2023),https://research.umich.edu
OVPR UMOR Small Projects Grant,"Office of the Vice President for Research, UM",internal,"Architecture, Research","~$14,000–$15,000",Internal competition,Annual,No,General small research grants from the UM Office of Research. Frequently used alongside Taubman grants.,Thün CV (multiple),https://research.umich.edu
OVPR Bold Challenges Team Formation Grant,"Office of the Vice President for Research, UM",internal,"Architecture, Research, Interdisciplinary","~$20,000",Internal; periodic,Periodic,No,Seed grants to form large interdisciplinary teams around Bold Challenges initiatives at UM.,Thün CV (2022),https://research.umich.edu
International Institute Grants (multiple types),"International Institute, University of Michigan",internal,"Architecture, International, Area Studies","$1,000–$10,000 (varies by type)",Multiple cycles per year,Annual/Rolling,Yes,"Multiple grant types: Experiential Learning Fund, Performances, Workshop Grants, Collaboration Grants, Area Studies Grants. Used extensively for travel studios and international research.",Miller CV (2012–13; multiple),https://ii.umich.edu
ADVANCE Summer Writing Grant,University of Michigan ADVANCE Program,internal,"Architecture, Research, Writing","$1,500–$3,000",Annual (spring),Annual,No,Summer salary support for faculty writing projects. Particularly supports women and underrepresented faculty.,Miller CV (2017; 2018),https://advance.umich.edu
Rackham Dean's Strategic Initiative Fund,University of Michigan Rackham Graduate School,internal,"Architecture, Education, Graduate Programming","~$3,800",Internal; contact Rackham,Annual,No,Small funds for programming aligned with Rackham strategic priorities. Used for virtual lecture series on decarbonizing construction.,Miller CV (2021),https://rackham.umich.edu
Humanities Collaboratory Proposal Development Grant,University of Michigan Humanities Collaboratory,internal,"Humanities, Architecture, Interdisciplinary","~$58,000",Internal competition,Periodic,No,"Supports collaborative humanities research development. Used for 'Reparative AI' project exploring AI, equity, and digital culture.",Abrons CV (2024),https://humanitiescollaboratory.umich.edu
UM Urban Collaboratory Project Grants,University of Michigan Urban Collaboratory,internal,"Urban Design, Architecture, Mobility","$40,000–$60,000",Internal/partner-driven; ongoing,Ongoing,Yes,Applied urban research connecting faculty to city partners in Detroit and SE Michigan. Supports mobility hub prototyping and urban systems research.,Thün CV (2017),https://detroit.umich.edu/urban-collaboratory
ACSA Faculty Design Award,Association of Collegiate Schools of Architecture,competition,"Architecture, Design, Education",Prize + recognition,Annual; check ACSA site,Annual,No,Peer-reviewed faculty design award. Honorable mentions common. Miller won HM for Post Rock (2016); Thün for Infra-Eco-Logi Urbanism (2014).,Miller CV (2016 HM); Thün CV (2014 HM),https://www.acsa-arch.org
Architect Magazine R&D Award Program,Architect Magazine,competition,"Architecture, Research, Technology, Materials",Publication + recognition,Annual (typically fall),Annual,No,"Recognizes innovative research and development in architecture practice. Multiple categories including materials, buildings, and tech.",Thün CV (2010 Excellence; 2016 HM),https://www.architectmagazine.com
Mies Crown Hall Americas Prize for Emerging Architecture,IIT College of Architecture,competition,"Architecture, Emerging Practice",Prize + nomination recognition,Biennial; check MCAP site,Biennial,No,Biennial prize for emerging architecture practices in the Americas. Northwood ADU by T+E+A+M was a selected nominee.,Miller CV + Abrons CV (2023 nominee),https://www.mchap.co
The Architects Newspaper Best of Design Award,The Architects Newspaper,competition,"Architecture, Design, Materials",Prize + publication feature,Annual (fall),Annual,No,"Annual awards across many categories. T+E+A+M won for Living Picture (2017) and received HM for Clastic Order (New Materials, 2018).",Miller CV + Abrons CV (2017 winner; 2018 HM),https://www.archpaper.com
AZ Awards Program,Azure Magazine,competition,"Architecture, Design, Social Good",Prize + publication feature,Annual; check Azure site,Annual,No,Canadian design awards with strong international reach. Multiple categories. RVTR / Thün won in Social Good category for EXTRACTION exhibition (2017).,Thün CV (2017 winner – Social Good),https://www.azuremagazine.com
Architizer A+ Award Program,Architizer,competition,"Architecture, Design, Acoustics, Technology",Jury + Popular Choice awards,Annual (spring),Annual,No,Large international awards with many categories; public voting component. Thün / RVTR won Jury Award and Popular Choice for Resonant Chamber (2013).,Thün CV (2013 – Architecture + Sound),https://architizer.com/awards
Ragdale Ring Fellowship / Adrian Smith Prize,Ragdale Foundation,competition,"Architecture, Landscape, Temporary Structure","Commission + ~$25,000 prize",Annual; check Ragdale site,Annual,No,Annual competition to design Ragdale Foundation's outdoor performance space. T+E+A+M won for Living Picture (2017). Open to architects and designers.,Miller CV + Abrons CV (2017 winner),https://www.ragdale.org
Jardin de Métis International Garden Competition,Jardins de Métis / Reford Gardens (Quebec),competition,"Landscape, Garden Design, Architecture",Prize + installation commission,Annual (winter deadline),Annual,No,Prestigious annual garden design competition in Quebec. Open to international teams.,Miller CV (2015),https://www.jardinsdemetis.com/en/international-garden-festival/competition
Architecture League of New York – Folly Competition,The Architectural League of New York + Socrates Sculpture Park,competition,"Architecture, Public Installation",Commission + fabrication budget,Annual (spring),Annual,No,"Annual competition to design a temporary pavilion/folly at Socrates Sculpture Park, NYC.",Miller CV (2015 – Between You & Me),https://archleague.org
Venice Architecture Biennale (US Pavilion / National Pavilions),La Biennale di Venezia,competition,"Architecture, Exhibition, International",Invitation + production support (varies),~18 months before opening,Biennial (odd years),No,Most prestigious international architecture exhibition. T+E+A+M participated in US Pavilion (2016) and Common Ground (2012). Canadian Pavilion (Thün 2016).,Miller CV + Abrons CV (2012; 2016); Thün CV (2016),https://www.labiennale.org/en/architecture
Chicago Architecture Biennial,Chicago Architecture Biennial,competition,"Architecture, Exhibition",Invitation + production support,~12 months before opening,Biennial (odd years),No,"Major North American biennial, curated by artistic directors. T+E+A+M showed Ghostbox (2017). High visibility for mid-career practices.",Miller CV + Abrons CV (2017 – Ghostbox),https://www.chicagoarchitecturebiennial.org
Canadian Society of Landscape Architects National Award of Excellence,CSLA / AAPC,competition,"Landscape, Architecture, Environmental Design",National award,Annual; check CSLA site,Annual,No,National award for excellence in Canadian landscape architecture. Thün / RVTR won for EXTRACTION exhibition design (2017).,Thün CV (2017),https://www.csla-aapc.ca/awards
Log (Anyone Corporation),Anyone Corporation,publication,"Architecture, Theory, Criticism",N/A (invited/submitted),Rolling; contact editors,3x/year,Yes,Influential architecture theory journal. Strong platform for architectural speculation and criticism. Frequently cites Taubman work.,Miller CV (multiple); Abrons CV (2016; 2017),https://www.anycorp.com/log
Journal of Architectural Education (JAE),Association of Collegiate Schools of Architecture,publication,"Architecture, Education, Research",N/A (peer-reviewed),Rolling submissions,Quarterly,Yes,Primary peer-reviewed journal for architecture education. ACSA-affiliated. Miller published 2014; Thün published multiple articles.,Miller CV (2014); Thün CV (multiple),https://www.tandfonline.com/toc/rjae20/current
Technology | Architecture + Design (TAD),Taylor & Francis / ACSA,publication,"Architecture, Technology, Environment",N/A (peer-reviewed),Rolling submissions,Biannual,Yes,Peer-reviewed journal focused on building technology and environmental design research. Thün published on climate measures and responsive envelopes.,Thün CV (2018; 2024),https://www.acsa-arch.org
The Avery Review,Columbia GSAPP,publication,"Architecture, Criticism, Theory",N/A (invited/submitted),Rolling; contact editors,Monthly (approx.),Yes,Columbia-affiliated critical platform publishing in-depth design criticism and essays. Miller published 'Views from the Plastisphere' (2016).,Miller CV (2016),https://www.averyreview.com
e-flux Architecture,e-flux,publication,"Architecture, Theory, Digital Culture",N/A (invited),Varies by series/volume,Rolling,Yes,Influential online platform with edited volumes and essay series. Abrons co-edited the Becoming Digital volume (2019).,Abrons CV (2019 – Becoming Digital),https://www.e-flux.com/architecture
Actar Publishers,Actar Publishers (Barcelona/New York),publication,"Architecture, Theory, Urban Design",N/A (proposal-based),Rolling; contact editors,Continuous,Yes,"Leading architecture publisher for theory, monographs, and edited volumes. Miller, Abrons, and Thün have all published with Actar.",Miller CV (2021); Abrons CV (2018; 2023); Thün CV (via collaborators),https://actar.com
Drawing Codes: Experimental Protocols of Architectural Representation,AR+D Publishing / Kudless + Marcus (curators),publication,"Architecture, Representation, Drawing",N/A (peer-reviewed submission),Periodic (multiple volumes),Multi-edition series,No,Traveling exhibition + publication series on experimental architectural drawing. High visibility across multiple architecture schools.,Miller CV + Abrons CV (2019; 2024),https://www.arplusd.com/books/drawing-codes
