Opportunity Name,Organization,Type,Fields,Typical Amount,Deadline,Cycle,Rolling?,Description,CV Sources,Website,Apply Link,Duplicate Entries Merged
LEO Professional Development Fund,"Lecturers' Employee Organization, University of Michigan",internal,"Teaching, Professional Development","$412–$2,000",Annual cycle; check LEO website,Annual,No,UM internal fund for lecturers to support professional development activities.,Hwang CV (multiple awards 2020–2022),https://www.leounion.org,https://research.umich.edu/funding/,1
Institute for the Humanities Fellowship,"LSA Institute for the Humanities, University of Michigan",internal,"Humanities, Architecture, Research","$6,000",Annual; typically fall deadline,Annual,No,UM summer fellowship supporting humanities research projects with interdisciplinary impact.,"Hwang CV (Pivotal Constructions, granted 2021)",https://lsa.umich.edu/humanities,https://research.umich.edu/funding/,1
Gilbert A. Whitaker Fund,"CRLT / Gilbert Whitaker Fund, University of Michigan",internal,"Leadership, Architecture, Teaching","$10,000",Annual cycle; check CRLT website,Annual,No,UM internal grant supporting leadership and teaching initiatives in professional and design education.,"Hwang CV (Leadership in Architecture, granted 2019)",https://crlt.umich.edu,https://crlt.umich.edu/grants-funding,1
Experimental Learning Fund (ELF),University of Michigan,internal,"Architecture, Travel, Education","$6,000–$10,000",Annual; check Provost office,Annual,No,UM fund supporting experimental and travel-based learning studios and courses.,"Hwang CV (Architectural Arbitrage $10K + Tokyo $6K, 2011–12)",https://ii.umich.edu,https://research.umich.edu/funding/,1
NSF CIVIC-FA – Civic Innovation & Technology,National Science Foundation,federal,"Urban Technology, Design, Community","$1,000,000",Check NSF.gov for current solicitation,Annual,No,NSF federal grant supporting civic-facing innovation projects with community and technology dimensions.,"Wizinsky CV (Rehab for America, Senior Personnel, 2025–26)",https://www.nsf.gov,https://new.nsf.gov/funding/opportunities/civic-innovation-challenge-civic,1
Humanities Without Walls – Mellon Foundation,Andrew W. Mellon Foundation / Big Ten Academic Alliance,grant,"Humanities, Design, Public History, Health","$110,000",Check Humanities Without Walls consortium,Varies,No,Consortium grant supporting collaborative humanities research across Big Ten institutions.,"Wizinsky CV (Transmedia Collage, $110K, 2018–19)",https://www.mellon.org,https://btaa.org/resources-for/staff-and-leaders/academic-leadership-program,1
MAC Cosmetics AIDS Fund,MAC Cosmetics / Viva Glam,grant,"Health, Design, Public History","$70,000",By invitation / check MAC AIDS Fund,Varies,No,Philanthropic grant supporting HIV/AIDS public health and awareness projects.,"Wizinsky CV (Women and HIV oral history, $70K, 2016–18)",https://www.maccosmetics.com/viva-glam,https://www.maccosmetics.com/viva-glam,1
Nathan Cummings Foundation Grant,Nathan Cummings Foundation,grant,"Health, Design, Community","$5,000",Check foundation website,Varies,No,Supports arts and design projects addressing social justice and public health.,"Wizinsky CV (Women and HIV oral history, $5K, 2015)",https://www.nathancummings.org,https://www.nathancummings.org/grants/,1
People's Liberty Foundation Grant,People's Liberty,grant,"Design, Community, Social Justice","$7,500",Annual; check People's Liberty website,Annual,No,Cincinnati-based philanthropic grant supporting community-engaged design and social justice projects.,"Wizinsky CV (Women of Color / Justice project, $7,500, 2018)",https://www.peoplesliberty.org,https://www.peoplesliberty.org/grant/,1
Exhibit Columbus University Design Research Fellowship,Exhibit Columbus,fellowship,"Architecture, Urban Design, Research","$10,000",Annual; check Exhibit Columbus,Annual,No,"Fellowship supporting design research projects exhibited in Columbus, IN as part of the biennial.","Wizinsky CV (The Long Now, $10K, 2018–19)",https://www.exhibitcolumbus.org,https://www.exhibitcolumbus.org/opportunities,1
Andrew W. Mellon Foundation – Digital Scholarship,Andrew W. Mellon Foundation,grant,"Digital Humanities, Design, Research","$900,000 (institutional); varies individually",By invitation; check foundation,Varies,No,Supports digital humanities infrastructure and scholarship at research universities.,"Wizinsky CV (UC Digital Scholarship Center, $900K institutional, 2018–20)",https://www.mellon.org,https://www.mellon.org/grants/,1
UC / UM Digital Humanities & Scholarship Grant,University Digital Humanities Center (UC or UM),internal,"Digital Humanities, Design, Research","$10,000",Annual; check institution's DH center,Annual,No,Internal university grant supporting digital humanities and design scholarship projects.,"Wizinsky CV (Community archives, $10K, 2019–20)",https://www.digitalhumanities.org,https://www.digitalhumanities.org/dhq/vol/17/4/000721/000721.html,1
Provost's Office Research Grant (University of Cincinnati),"Office of the Provost, University of Cincinnati",internal,"Design, Research, Urban Futures","$7,500–$20,000",Annual; check Provost office,Annual,No,Internal UC competitive grant supporting faculty research projects and exhibitions.,Wizinsky CV (multiple awards 2017–18),https://www.uc.edu/provost.html,https://research.uc.edu/funding/internal-funding-opportunities.html,1
Stamps School Seed Grant – Discursive Design,University of Michigan Stamps School of Art & Design,internal,"Design, Research, Database","$15,000",Annual; check Stamps School,Annual,No,UM internal seed grant for design research initiatives including databases and publications.,"Wizinsky CV (Discursive design database, $15K, 2016–18)",https://stamps.umich.edu,https://stamps.umich.edu/research/funding,1
Robert Wood Johnson Foundation – Land Use & Health Equity,Robert Wood Johnson Foundation,grant,"Architecture, Planning, Health Equity, Land Use","$250,000",Letter of intent; check RWJF website,Annual,No,Grant reimagining land use and zoning policy for community health equity; supports community land trust models.,"Cuéllar CV (LOI selected, $250K requested, 2025)",https://www.rwjf.org,https://www.rwjf.org/en/how-we-work/grants-explorer/funding-opportunities.html,1
Lincoln Institute of Land Policy – Food Systems Grant,Lincoln Institute of Land Policy,grant,"Planning, Land Policy, Food Systems, Architecture","$10,000",Annual; check Lincoln Institute,Annual,No,"Supports research and design at the intersection of land policy, food systems, and territorial conflict.","Cuéllar CV ($10K awarded, 2022)",https://www.lincolninst.edu,https://www.lincolninst.edu/research-data/funding-opportunities,1
Columbia GSAPP Buell Center Course Development Prize,Columbia University GSAPP / Buell Center,grant,"Architecture, Climate, Education","$10,000",Annual; check Buell Center,Annual,No,Supports development of innovative architecture courses addressing climate change and society.,"Cuéllar CV ($10K awarded, 2020)",https://www.arch.columbia.edu/research-labs-centers/4-buell-center,https://www.arch.columbia.edu/research-labs-centers/4-buell-center,1
AIA Research Grant,American Institute of Architects,grant,"Architecture, History, Community","$2,000",Annual; check AIA website,Annual,No,AIA chapter-level research grant supporting architectural history and community-focused design research.,"Cuéllar CV (Freedmen Churches, $2K, 2014)",https://www.aia.org,https://www.aia.org/awards-and-competitions,1
Taubman College – Pressing Matters Grant,"Taubman College of Architecture and Urban Planning, UM",internal,"Architecture, Housing, Equity, Urban Design","$4,750–$20,000",Annual; check Taubman College,Annual,No,Internal Taubman grant supporting pressing research questions in architecture and urban planning.,"Cuéllar CV (Community Land Trusts, 2023–24); Morcillo Pallares CV (multiple 2022–24)",https://taubmancollege.umich.edu,https://taubmancollege.umich.edu/research,1
Taubman College – OVPR Research Catalyst Award,"Office of VP for Research / Taubman College, UM",internal,"Architecture, Design, Community, Gaming","$15,000",Annual competitive cycle; check OVPR,Annual,No,UM internal award supporting innovative design research with community impact.,"Cuéllar CV (In Place We Trust game, $15K, 2024–25)",https://research.umich.edu,https://research.umich.edu/funding/,1
Taubman College – TVLab Fund for Experimental Inquiry,"Taubman College Visualization Lab, UM",internal,"Architecture, Visualization, Technology","$5,000",Annual; check Taubman College,Annual,No,Internal UM fund supporting experimental visualization and immersive technology research.,"Cuéllar CV (Perception and Legal Geography, 2023–24); Morcillo Pallares CV (2024)",https://taubmancollege.umich.edu,https://taubmancollege.umich.edu/research,1
Taubman College – Seed Grant,"Taubman College of Architecture and Urban Planning, UM",internal,"Architecture, Technology, Research","$5,000",Annual; check Taubman College,Annual,No,Small seed grants for emerging research in architecture and urban planning.,"Cuéllar CV (Mixed-Reality Models, 2023–24)",https://taubmancollege.umich.edu,https://taubmancollege.umich.edu/research,1
National Center for Institutional Diversity – Anti-Racism Fellowship,University of Michigan NCID,internal,"Architecture, Equity, Indigenous Knowledge, Research","$22,500",Annual; check NCID website,Annual,No,UM fellowship supporting faculty research at the intersection of anti-racism and community-engaged design.,"Cuéllar CV (Watershed Resurgence, 2024–25)",https://ncid.umich.edu,https://ncid.umich.edu/funding-opportunities/,1
University of Minnesota Imagine Fund,University of Minnesota,internal,"Architecture, Land, Property, Spatial Practice","$5,000",Annual; check U of MN arts/humanities office,Annual,No,Internal grant supporting innovative arts and humanities research at University of Minnesota.,"Cuéllar CV (Property as Spatial Practice, $5K, 2020)",https://research.umn.edu/funding-opportunities/imagine-fund,https://research.umn.edu/funding-opportunities/imagine-fund,1
Architectural League Prize,The Architectural League of New York,award,"Architecture, Urban Design","$2,000",Annual; check Architectural League website,Annual,No,Prestigious prize recognizing emerging architects and designers for innovative research and design work.,"Cuéllar CV ($2K, 2018)",https://archleague.org,https://archleague.org/young-architects-designers/,1
Andrew W. Mellon Foundation Grants,Andrew W. Mellon Foundation,grant,"Architecture, Arts, International, Research","$20,000 (example)",Varies by program,Varies,No,"Supports scholarship in arts, humanities, and higher education. Used by Taubman faculty for architectural history research on postcolonial and Cold War contexts.",Stanek CV (2019–2021),https://www.mellon.org,https://www.mellon.org/grants/,1
British Academy Small Grants,The British Academy,grant,"Architecture, International, Research","£20,000 (example)",Typically spring,Annual,No,"Supports humanities and social sciences research. Has funded architectural history conferences, publications, and fieldwork.",Stanek CV (2021),https://www.thebritishacademy.ac.uk/funding,https://www.thebritishacademy.ac.uk/funding/,1
Graham Sustainability Institute – Catalyst Grant,"Graham Sustainability Institute, UM",internal,"Sustainability, Food Systems, Planning, Research","$9,950–$450,000",Annual cycle; check website,Annual,No,"UM internal grant supporting interdisciplinary sustainability research, pilot studies, and real-world impact projects.",Hoey CV (multiple 2017–2020); Miller CV (2022),https://graham.umich.edu,https://graham.umich.edu/funding-opportunities,1
Graham Sustainability Institute – Dow Sustainability Fellowship,"Graham Sustainability Institute / Dow, UM",fellowship,"Sustainability, Planning, Food Systems","$20,000 per fellow",Typically fall semester,Annual,No,Masters-level fellowship for sustainability-focused capstone projects. Faculty serve as advisors and nominators.,Hoey CV (multiple advisees 2013–2022),https://graham.umich.edu,https://graham.umich.edu/funding-opportunities,1
US Fulbright Scholar Program,U.S. Dept of State / CIES,fellowship,"Planning, International, Research",Varies; covers living/travel,August 1 annually,Annual,No,International research and teaching fellowship for faculty to conduct research or lecture abroad. Open to U.S. citizens.,"Hoey CV (awarded Bolivia, 2020)",https://fulbright.org,https://fulbrightscholars.org/us-scholar-awards,1
USDA NIFA – National Needs Graduate Fellowship,USDA National Institute of Food and Agriculture,federal,"Food Systems, Sustainability, Planning","$262,500 per award",Check Grants.gov; annual RFA,Annual,No,Federal fellowship funding graduate training in priority food and agricultural science areas. PIs apply to host fellows.,"Hoey CV ($525K total, 2021–2025)",https://www.nifa.usda.gov/grants,https://www.nifa.usda.gov/grants,1
USDA NIFA – Partnership Grants (AFRI),USDA National Institute of Food and Agriculture,federal,"Food Systems, Sustainability, Research","$800,000+",Multiple RFAs; check Grants.gov,Annual,No,"Competitive federal grants for research partnerships in food, agriculture, and natural resources. Emphasis on multi-institutional collaboration.","Hoey CV ($800K, 2024–2028)",https://www.nifa.usda.gov/grants,https://www.nifa.usda.gov/grants,1
NSF Convergence Accelerator,National Science Foundation,federal,"Sustainability, Planning, Research","$650,000 Phase I",Check NSF.gov for current tracks,Annual,No,Funds use-inspired convergence research addressing national-scale societal challenges. Phase I awards can lead to Phase II funding.,"Hoey CV ($650K, 2024)",https://www.nsf.gov,https://new.nsf.gov/funding/opportunities/convergence-accelerator,1
NIH Research Grants (R-series / Center Grants),National Institutes of Health,federal,"Planning, Food Systems, Research, Health",$6.7M+ (center grant example),"Feb, June, Oct (standard dates)",3x/year,No,"Federal health research funding. Planning and urban faculty can collaborate on equity, food systems, and community health.","Hoey CV ($6.7M, 2024–2029)",https://grants.nih.gov,https://grants.nih.gov/grants/how-to-apply-application-guide.html,1
W.K. Kellogg Foundation Grants,W.K. Kellogg Foundation,grant,"Food Systems, Planning, Sustainability","$35,000–$290,000",By invitation / partner institutions,Varies,No,"Philanthropic grants for food systems, equity, children, and community health. Often administered through partner institutions.",Hoey CV (multiple via MSU CRFS),https://www.wkkf.org,https://www.wkkf.org/grantseekers,1
InterAmerican Foundation – Grassroots Development Fellowship,InterAmerican Foundation,fellowship,"Planning, International, Research","$25,000",Check IAF website,Annual,No,"Supports researchers working with grassroots organizations in Latin America and the Caribbean. Field-based, applied research focus.","Hoey CV ($25K, 2010–2011)",https://www.iaf.gov,https://www.iaf.gov/apply-for-grant/,1
Rackham Graduate School – Research & Predoctoral Grants,"Rackham Graduate School, UM",internal,"Research, Planning, Architecture","$1,000–$18,500",Rolling,Rolling,Yes,"UM internal funding for doctoral student research, travel, and dissertation work. Faculty serve as committee chairs and nominators.",Hoey CV (multiple advisees),https://rackham.umich.edu,https://rackham.umich.edu/funding/,1
UM OVPR – Transformation Grant,"Office of VP for Research, UM",internal,"Research, Sustainability, Planning","$24,926–$450,000",Annual competitive cycle,Annual,No,UM internal competitive grant for transformative interdisciplinary research. Seed funding for larger external grants.,Hoey CV (multiple OVPR awards),https://www.nsf.gov,https://research.umich.edu/funding/,1
UM Poverty Solutions – Faculty Research Grants,"Poverty Solutions Center, UM; American Institute of Architects Foundation",internal; grant,"Planning, Research, Equity; Architecture, Research, Practice","$20,000; $15,000–$25,000",Annual RFP; check website; Annual; check AIA site,Annual,No,"UM initiative funding faculty research addressing the causes and consequences of poverty. Supports community-engaged, policy-relevant research.","Hoey CV ($20K, 2017); Miller CV (2016); Thün CV (2014)",https://povertysolutions.umich.edu,https://povertysolutions.umich.edu/faculty-engagement/,2
Graham Foundation for Advanced Studies in the Fine Arts,"Graham Foundation, Chicago",grant,"Architecture, Arts, International","$8,000",Check Graham Foundation website,Annual,No,"Supports individuals and organizations working at the intersection of architecture and the arts. Grants for publications, exhibitions, and research.","Stanek CV ($8K, 2012); Miller CV (2015)",https://advance.umich.edu,https://www.google.com/search?q=site%3Aadvance.umich.edu+%22Graham+Foundation+for+Advanced+Studies+in+the+Fine+Arts%22+apply,1
Paul Mellon Centre – Publication Grants,"Paul Mellon Centre, London",grant,"Architecture, Arts, International","~£2,000",Rolling,Rolling,Yes,Supports publication of scholarly works on British art and architecture. Grants available for book manuscripts and related research.,Stanek CV (2024–25),https://www.mellon.org,https://www.paul-mellon-centre.ac.uk/grants-and-fellowships,1
CASVA – A.W. Mellon Postdoctoral Fellowship,"National Gallery of Art, Washington D.C.",fellowship,"Architecture, Arts, Research",Stipend + research funds,November annually,Annual,No,Prestigious two-year residential postdoctoral fellowship at the National Gallery of Art supporting scholars in art history and related fields.,Stanek CV (2011–2013),https://www.mellon.org,https://www.nga.gov/research/casva/fellowships.html,1
Canadian Centre for Architecture – Postdoctoral Fellowships,"Canadian Centre for Architecture, Montreal",fellowship,"Architecture, Arts, International, Research",Stipend + housing support,Typically January,Annual,No,Research fellowships at the CCA supporting architectural history and theory research using its extensive archives. Residential fellowship with collections access.,Stanek CV (2011),https://www.cca.qc.ca/en/opportunities,https://www.cca.qc.ca/en/opportunities,1
Michigan Society of Fellows – Senior Fellowship,"Michigan Society of Fellows, UM",fellowship,"Architecture, Research, Arts, Planning",Research support + stipend,By nomination; check MSF website,Annual,No,"Prestigious UM fellowship for exceptional scholars in arts, humanities, and social sciences. Provides research support, community, and university visibility.",Stanek CV (appointed 2023),https://societyoffellows.umich.edu,https://societyoffellows.umich.edu/,1
Charles Jencks Foundation – Research Fellowship,"Charles Jencks Foundation, London",fellowship,"Architecture, Arts, International",Varies,Check CJF website,Varies,No,Supports innovative research in architecture and landscape. Named fellowships and research grants available. Focus on advancing architectural discourse.,Stanek CV (May 2023),https://www.jencksfoundation.org,https://www.jencksfoundation.org/programmes,1
WOJR / Civitella Ranieri Architecture Prize,WOJR / Civitella Ranieri Foundation,award,"Architecture, Arts, International",Residency + project support,Check WOJR website,Annual,No,"Supports an architect or academic in developing a significant body of work. Provides residency at Civitella Ranieri castle in Umbria, Italy.",Newell CV (2020),https://civitella.org,https://civitella.org/fellowships/,1
Kresge Artist Fellowship,Kresge Foundation / Kresge Arts in Detroit,fellowship,"Arts, Architecture, Detroit","$25,000 unrestricted",Annual; check Kresge Arts in Detroit,Annual,No,Supports Detroit-area artists and practitioners with unrestricted funding. Applicants must be based in Metro Detroit. Highly competitive.,Newell CV (2017),https://www.kresge.org,https://www.kresgeartsindetroit.org/,1
MacDowell Fellowship,"MacDowell, Peterborough NH",fellowship,"Arts, Architecture, Residency",Residency; all costs covered,Jan 15 (summer/fall); Apr 15 (winter/spring),Biannual,No,"Prestigious creative residency providing uninterrupted time and a private studio. Open to architects, artists, writers, composers, and other creatives.",Newell CV (2024); Abrons CV (2017),https://www.macdowell.org,https://www.macdowell.org/apply,1
Rome Prize – Architecture (American Academy in Rome),American Academy in Rome,fellowship,"Architecture, Arts, International","$28,000 + housing + studio + meals",November 1 annually,Annual,No,One of the most prestigious awards in arts and humanities. Residential fellowship in Rome for 6 or 11 months supporting independent architectural projects.,Newell CV (Rome Prize 2013–2014),https://www.aarome.org/rome-prize,https://www.aarome.org/apply/rome-prize,1
SOM Foundation Traveling Fellowship,"SOM (Skidmore, Owings & Merrill) Foundation",fellowship,"Architecture, International, Travel","$50,000 (typical)",Typically spring; check SOM Foundation,Annual,No,"Enables architects and designers to pursue independent research abroad. Multiple fellowship types: Architecture, Design, and Urban Design.",Newell CV (2006–07),https://www.somfoundation.com,https://www.somfoundation.com/traveling-fellowship/,1
Architectural League Prize for Young Architects,Architectural League of New York,award,"Architecture, Emerging Practice",Exhibition + publication,January annually,Annual,No,"Annual competition recognizing emerging architects within 10 years of graduation. Winners receive exhibition, publication, and lecture opportunities in New York.",Newell CV (2011),https://archleague.org,https://archleague.org/young-architects-designers/,1
National Endowment for the Arts – Research Lab / Grants,National Endowment for the Arts,federal,"Arts, Architecture, Planning, Community","$150,000 (Research Lab example)",Check NEA.gov for current programs,Varies,No,"Federal agency supporting arts-related research. Research Lab grants fund interdisciplinary teams studying arts and their impact on health, equity, and communities.","Newell CV (NEA Lab, 2024–ongoing)",https://www.arts.gov,https://www.arts.gov/grants,1
Guardian Glass Industries – Innovation in Glass Grant,Guardian Glass (Industry Partner),grant,"Architecture, Arts, Research, Materials","$30,000–$90,000",By invitation / direct contact,Varies,No,Industry research partnership supporting innovative glass research in architecture and design. Multi-year grants for experimental fabrication and material research.,Newell CV (multiple 2016–2022),https://www.guardian.com,https://www.guardian.com/innovation,1
UM Arts Engine – Interdisciplinary Faculty Research Grant,"Arts Engine / Stamps School, UM",internal,"Arts, Architecture, Research, Technology","$3,000–$64,462",Annual RFP; check Arts Engine website,Annual,No,"UM internal grant for interdisciplinary research at the intersection of arts, technology, and the humanities. Encourages cross-school collaboration.",Newell CV (multiple 2018–2021),https://stamps.umich.edu,https://www.google.com/search?q=site%3Astamps.umich.edu+%22UM+Arts+Engine+%E2%80%93+Interdisciplinary+Faculty+Research+Grant%22+apply,1
Egalitarian Metropolis Project Grant (Michigan-Mellon),Mellon Foundation / Taubman College / UM,grant,"Architecture, Planning, Research, Equity","$20,000",Annual cycle; check Taubman/Mellon website,Annual,No,"Supports projects engaging equity, belonging, and the future of cities. Administered through UM's Michigan-Mellon Project on the Egalitarian Metropolis.","Morcillo Pallares CV ($20K, 2022–2023)",https://taubmancollege.umich.edu,https://taubmancollege.umich.edu/research,1
OVPR Bold Challenges BOOST Program,"Office of VP for Research, UM",internal,"Research, Sustainability, Planning, Architecture","$75,000",Annual; check OVPR website,Annual,No,"UM initiative supporting bold, high-impact interdisciplinary research tackling climate, health, equity, and other complex societal problems.","Morcillo Pallares CV ($75K, 2024–2025)",https://research.umich.edu,https://research.umich.edu/funding/,1
Taubman College – Research Through Making Grant,"Taubman College, UM",internal,"Architecture, Arts, Research, Making","$19,000–$24,000",Annual; check Taubman College,Annual,No,"Annual internal grant for experimental, fabrication-based architectural research. Most widely cited grant across all CVs.",Morcillo Pallares CV; Newell CV; Miller CV; Abrons CV; Thün CV (multiple),https://taubmancollege.umich.edu,https://taubmancollege.umich.edu/research,1
UMOR Publication Subvention Grant,UM Office of Research (UMOR),internal,"Architecture, Arts, Research, Planning","$5,000",Rolling,Rolling,Yes,"UM grant subsidizing faculty publication costs including peer-reviewed books, open-access fees, and exhibition catalogs.","Morcillo Pallares CV ($5K, 2017)",https://research.umich.edu,https://research.umich.edu/funding/,1
CRLT Lecturers Professional Development Fund,"CRLT, UM",internal,"Research, Architecture, Planning, Teaching","$2,000",Rolling,Rolling,Yes,"UM fund specifically supporting professional development for lecturers and teaching faculty, including research projects and curriculum development.","Morcillo Pallares CV ($2K, 2014–2015)",https://crlt.umich.edu,https://crlt.umich.edu/grants-funding,1
German Research Foundation (DFG) – International Project Grants,"Deutsche Forschungsgemeinschaft (DFG), Germany",grant,"Architecture, International, Research, Sustainability","€50,000–€500,000+",Rolling,Rolling,Yes,Germany's primary research funding agency. Architecture faculty can participate as foreign co-investigators on projects led by German institutions.,Morcillo Pallares CV (2024–2025),https://www.dfg.de/en,https://www.dfg.de/en/research_funding/programmes/,1
AIA Michigan / AIA Detroit Design Honor Awards,American Institute of Architects Michigan / AIA Detroit,award,"Architecture, Design Competition",Honor award; professional recognition,Typically early spring,Annual,No,Annual juried awards recognizing outstanding architectural design in Michigan. Open to AIA members.,Morcillo Pallares CV (2023 Honor Awards for The School at Marygrove),https://www.aia.org,https://www.aiami.com/awards/,1
SARA NY / SARA National Design Awards,Society of American Registered Architects (SARA),award,"Architecture, Design Competition",Award of Excellence / Honor Award,Typically spring/summer,Annual,No,"National and chapter-level design awards open to all licensed architects. Categories span residential, commercial, institutional, and unbuilt work.",Morcillo Pallares CV (2023 SARA NY + National Awards),https://www.sara-national.org,https://www.sara-national.org/design-awards/,1
FIGMENT / ENYA – City of Dreams Pavilion Competition,FIGMENT / AIA New York (ENYA) / SEAoNY,competition,"Architecture, Design, Arts, Public Space","$15,000–$25,000 construction funding",Typically January–February,Annual,No,"Annual open competition for a temporary pavilion on Governors Island, NYC. Emphasizes sustainability, community engagement, and innovative construction.",Morcillo Pallares CV (Finalist 2020),https://www.aia.org,https://www.cityofdreamspavilion.com/competition/,1
Land Art Generator Initiative (LAGI) Design Competition,Land Art Generator Initiative,competition,"Architecture, Design, Sustainability, Arts","$10,000–$20,000 prize",Biennial; check LAGI website,Biennial,No,Biennial international open competition for large-scale public art installations that generate clean energy. Combines aesthetic vision with real renewable energy infrastructure.,Morcillo Pallares CV (Finalist LAGI 2012),https://landartgenerator.org,https://landartgenerator.org/competition/,1
A. Alfred Taubman Teaching Fellowship,"University of Michigan, Taubman College",internal,"Architecture, Teaching, Education",Varies,Internal – contact college,Annual,No,Supports early-career teaching faculty at Taubman College. Awarded to outstanding fellows in architecture.,Miller CV (2009–10); Abrons CV (2009–10),https://taubmancollege.umich.edu,https://taubmancollege.umich.edu/about/jobs-opportunities,1
Akademie Schloss Solitude Fellowship,"Akademie Schloss Solitude, Stuttgart",fellowship,"Architecture, Arts, Research, International",Stipend + studio + housing,Biennial; check site,Biennial,No,"International residency fellowship in Stuttgart, Germany. Supports artists and architects for 3–12 month stays.",Abrons CV (2011–12),https://www.akademie-solitude.de,https://www.akademie-solitude.de/en/fellowship/,1
NSF National I-Corps Grant,National Science Foundation,federal,"Architecture, Research, Entrepreneurship","$50,000",Rolling cohort cycles,Multiple/year,Yes,Entrepreneurial commercialization program for faculty with translatable research. Team-based: Technical Lead (faculty PI) + Entrepreneurial Lead (grad student) + Industry Mentor.,Miller CV (2021–22),https://www.nsf.gov,https://new.nsf.gov/funding/opportunities/i-corps,1
Canada Council – Professional Prix de Rome in Architecture,Canada Council for the Arts,grant,"Architecture, Research, Travel, International","~$50,000 CAD",Check Canada Council site,Annual,No,National juried portfolio and project award for Canadian architects. Supports extended research travel and creative practice.,Thün CV (2009),https://canadacouncil.ca,https://canadacouncil.ca/funding/prizes/prix-de-rome-in-architecture-professional,1
Young Architect's Forum Award,The Architectural League of New York,award,"Architecture, Emerging Practice",Exhibition + recognition,Annual; check Arch League site,Annual,No,Competitive award for emerging architects (within ~10 years of degree). Includes exhibition at the Architectural League of New York.,Thün CV (2008),https://archleague.org,https://archleague.org/young-architects-designers/,1
NSF Partnerships for Innovation – Technology Translation (PFI-TT),National Science Foundation,federal,"Architecture, Research, Commercialization","$250,000",Biannual; check NSF solicitation,Biannual,No,Supports faculty with prior NSF-funded research to translate findings toward commercial or societal use. Requires documented prior NSF support.,Miller CV (2023–25),https://www.nsf.gov,https://new.nsf.gov/funding/opportunities/partnerships-innovation-pfi,1
NSF Civic Innovation Challenge (CIVIC),National Science Foundation,federal,"Urban Design, Technology, Community","$75,000 (Stage 1); up to $1M (Stage 2)",Check NSF solicitations,Annual,No,Two-stage grants for community-engaged civic research. University teams partner with local government or nonprofits.,Abrons CV (2024),https://www.nsf.gov,https://new.nsf.gov/funding/opportunities/civic-innovation-challenge-civic,1
"Belmont Forum SUGI – Food, Water, Energy Nexus",Belmont Forum / NSF,federal,"Urban Design, Sustainability, Systems Research","~$250,000 US component",Check Belmont Forum calls,Periodic,No,International collaborative research on food-energy-water systems in cities. Multi-national team required; US component funded via NSF.,Thün CV (2018–22),https://www.nsf.gov,https://www.belmontforum.org/cras/,1
EGLE NextCycle Michigan – Recycling Innovation Track,"Michigan Dept. of Environment, Great Lakes & Energy",grant,"Architecture, Materials, Sustainability","$10,000–$70,000",Annual/periodic; check EGLE site,Annual,Yes,Michigan circular economy and recycling innovation grants. Supports projects developing new materials or systems from waste streams.,Miller CV (2022; 2025),https://nextcyclemichigan.com,https://nextcyclemichigan.com/funding/,1
Michigan Economic Development Corporation – ADVANCE Prototyping Grant,Michigan Economic Development Corporation (MEDC),grant,"Architecture, Materials, Product Development","~$20,000",Periodic; check MEDC site,Periodic,No,Supports development of commercial prototypes. Miller used for Post Rock building material development toward market.,Miller CV (2023),https://advance.umich.edu,https://www.google.com/search?q=site%3Aadvance.umich.edu+%22Michigan+Economic+Development+Corporation+%E2%80%93+ADVANCE+Prototyping+Grant%22+apply,1
National Fish and Wildlife Foundation – Coastal Resilience Fund,National Fish and Wildlife Foundation (NFWF),federal,"Environmental Design, Resilience, Urban","~$499,000 (+ $500K cost share required)",Annual; check NFWF site,Annual,No,Supports nature-based solutions for stormwater and coastal resilience. Requires significant partner cost share. Multi-institutional teams.,Thün CV (2024),https://www.nfwf.org,https://www.nfwf.org/programs/national-coastal-resilience-fund,1
SSHRC Research/Creation Grant in Fine Arts (Canada),Social Sciences and Humanities Research Council of Canada,grant,"Architecture, Arts, Research-Creation, International","$146,000–$186,000 CAD",Varies by stream; check SSHRC,Annual,No,Canadian federal grant for research-creation in the fine arts. Requires Canadian affiliation. Thün used for The Stratus Project and Post Carbon Highway.,Thün CV (2009; 2011),https://www.sshrc-crsh.gc.ca,https://www.google.com/search?q=site%3Asshrc-crsh.gc.ca+%22SSHRC+Research%2FCreation+Grant+in+Fine+Arts+%28Canada%29%22+apply,1
Taubman College Faculty Seed Fund,"Taubman College of Architecture + Urban Planning, UM",internal,"Architecture, Creative Practice","$1,200–$5,000",Internal; rolling,Annual/Rolling,Yes,Small seed grants to launch new research or creative practice projects. Lower bar than Research Through Making; good for project initiation.,Miller CV (2015+); Abrons CV (2013–17),https://taubmancollege.umich.edu,https://taubmancollege.umich.edu/research,1
Taubman College Artistic Productions and Performances Grant,"Taubman College / OVPR, UM",internal,"Architecture, Creative Practice, Exhibition","$5,000–$10,000",Internal annual cycle,Annual,No,"Supports exhibitions, installations, and artistic production projects. Used by faculty for Venice Biennale, Chicago Biennial, and other major exhibitions.",Miller CV (2015; 2017); Abrons CV (2013–17); Thün CV (2013; 2015),https://research.umich.edu,https://taubmancollege.umich.edu/research,1
